States,NumberofQuestion
10,0.79
10,0.89
10,0.855
10,0.895
10,0.685
10,0.615
10,0.865
10,0.75
10,0.85
10,0.71
11,0.835
11,0.61
11,0.8049999999999999
11,0.635
11,0.665
11,0.85
11,0.63
11,0.755
11,0.585
11,0.66
8,0.9550000000000001
8,0.9
8,0.9299999999999999
8,0.7250000000000001
8,0.845
8,0.565
8,0.5549999999999999
8,0.675
8,0.6
8,0.72
8,0.89
8,0.99
8,0.98
8,0.94
8,0.9199999999999999
8,0.79
8,0.865
8,0.76
8,0.895
8,0.885
8,0.9450000000000001
8,0.7749999999999999
8,0.82
8,0.9
8,0.85
8,0.49
8,0.745
8,0.6799999999999999
8,0.71
8,0.65
9,0.95
9,0.925
9,0.86
9,0.885
9,0.94
9,0.77
9,0.7949999999999999
9,0.545
9,0.595
9,0.59
9,0.835
9,0.8200000000000001
9,0.6
9,0.8300000000000001
9,0.7849999999999999
9,0.915
9,0.875
9,0.9099999999999999
9,0.96
9,0.905
9,0.95
9,0.875
9,0.9099999999999999
9,0.9450000000000001
9,0.915
