States,NumberofQuestion
10,0.8200000000000001
10,0.94
10,0.975
10,0.95
10,0.6499999999999999
10,0.71
10,0.745
10,0.825
10,0.685
10,0.665
11,0.665
11,0.675
11,0.96
11,0.675
11,0.715
11,0.9299999999999999
11,0.725
11,0.965
11,0.69
11,0.815
8,0.95
8,0.9199999999999999
8,0.99
8,1.0
8,0.8500000000000001
8,0.86
8,0.6699999999999999
8,0.66
8,0.72
8,0.89
8,1.0
8,0.995
8,0.99
8,1.0
8,1.0
8,0.9199999999999999
8,0.77
8,0.865
8,0.9550000000000001
8,0.885
8,0.9450000000000001
8,1.0
8,0.725
8,0.95
8,0.965
8,0.7150000000000001
8,0.815
8,0.735
8,0.75
8,0.79
9,1.0
9,1.0
9,1.0
9,1.0
9,0.975
9,0.995
9,0.985
9,0.87
9,0.9199999999999999
9,0.8200000000000001
9,0.875
9,0.995
9,0.75
9,1.0
9,0.89
9,0.9299999999999999
9,0.8300000000000001
9,0.81
9,0.825
9,0.8999999999999999
9,0.98
9,0.935
9,0.985
9,0.76
9,0.94
