States,NumberofQuestion
10,0.775
10,0.755
10,0.685
10,0.61
10,0.635
10,0.7
10,0.7050000000000001
10,0.69
10,0.71
10,0.645
11,0.64
11,0.715
11,0.9450000000000001
11,0.7
11,0.73
11,0.665
11,0.75
11,0.875
11,0.8200000000000001
11,0.665
8,0.94
8,0.86
8,0.73
8,0.675
8,0.83
8,0.715
8,0.735
8,0.625
8,0.87
8,0.6950000000000001
8,0.93
8,0.98
8,0.99
8,0.925
8,1.0
8,0.86
8,0.7849999999999999
8,0.74
8,0.9550000000000001
8,0.885
8,0.88
8,1.0
8,0.7649999999999999
8,0.94
8,0.835
8,0.72
8,0.66
8,0.7050000000000001
8,0.65
8,0.79
9,0.935
9,0.83
9,0.87
9,0.915
9,0.75
9,0.88
9,0.975
9,0.8999999999999999
9,0.99
9,0.8300000000000001
9,0.75
9,0.725
9,0.8200000000000001
9,0.635
9,0.865
9,0.8999999999999999
9,0.85
9,0.835
9,0.745
9,0.725
9,0.9450000000000001
9,0.885
9,0.975
9,0.8049999999999999
9,0.895
