States,NumberofQuestion
10,0.57
10,0.585
10,0.58
10,0.655
10,0.575
10,0.59
10,0.65
10,0.58
10,0.675
10,0.5549999999999999
11,0.5549999999999999
11,0.6
11,0.585
11,0.615
11,0.605
11,0.53
11,0.51
11,0.53
11,0.505
11,0.52
8,0.885
8,0.7849999999999999
8,0.86
8,0.6499999999999999
8,0.715
8,0.57
8,0.56
8,0.52
8,0.585
8,0.625
8,0.6849999999999999
8,0.7749999999999999
8,0.675
8,0.71
8,0.74
8,0.6950000000000001
8,0.5549999999999999
8,0.75
8,0.735
8,0.715
8,0.5700000000000001
8,0.585
8,0.765
8,0.705
8,0.61
8,0.78
8,0.575
8,0.705
8,0.725
8,0.695
9,0.615
9,0.6
9,0.54
9,0.525
9,0.575
9,0.545
9,0.56
9,0.635
9,0.545
9,0.575
9,0.565
9,0.54
9,0.57
9,0.5549999999999999
9,0.575
9,0.81
9,0.715
9,0.815
9,0.7050000000000001
9,0.7949999999999999
9,0.6699999999999999
9,0.675
9,0.73
9,0.64
9,0.705
