States,NumberofQuestion
10,0.94
10,0.9550000000000001
10,0.9550000000000001
10,0.965
10,0.725
10,0.7150000000000001
10,0.7949999999999999
10,0.8700000000000001
10,0.835
10,0.685
11,0.65
11,0.635
11,0.66
11,0.725
11,0.675
11,0.6900000000000001
11,0.78
11,0.955
11,0.7
11,0.6799999999999999
8,0.85
8,0.985
8,0.97
8,1.0
8,0.88
8,0.815
8,0.94
8,0.75
8,0.865
8,0.79
8,0.9299999999999999
8,0.95
8,1.0
8,0.925
8,1.0
8,0.9099999999999999
8,0.87
8,0.895
8,0.865
8,0.81
8,0.9
8,0.94
8,0.84
8,0.905
8,0.94
8,0.9
8,0.825
8,0.74
8,0.8300000000000001
8,0.83
9,1.0
9,0.9
9,0.77
9,0.98
9,1.0
9,1.0
9,1.0
9,0.96
9,1.0
9,0.8300000000000001
9,0.72
9,0.915
9,0.855
9,0.7649999999999999
9,0.95
9,0.94
9,0.95
9,0.97
9,0.955
9,0.905
9,1.0
9,0.6599999999999999
9,0.965
9,0.835
9,0.94
