States,NumberofQuestion
10,0.505
10,0.5
10,0.51
10,0.505
10,0.5
10,0.505
10,0.51
10,0.505
10,0.5
10,0.5
11,0.51
11,0.5
11,0.52
11,0.505
11,0.5
11,0.5
11,0.505
11,0.5
11,0.5
11,0.5
8,0.54
8,0.58
8,0.53
8,0.555
8,0.6
8,0.505
8,0.5
8,0.5
8,0.5
8,0.505
8,0.51
8,0.52
8,0.5
8,0.51
8,0.505
8,0.515
8,0.515
8,0.51
8,0.505
8,0.5
8,0.505
8,0.505
8,0.505
8,0.5
8,0.51
8,0.495
8,0.51
8,0.505
8,0.515
8,0.505
9,0.51
9,0.505
9,0.5
9,0.5
9,0.505
9,0.5
9,0.51
9,0.5
9,0.5
9,0.5
9,0.51
9,0.5
9,0.51
9,0.505
9,0.505
9,0.53
9,0.5
9,0.5
9,0.51
9,0.51
9,0.505
9,0.5
9,0.5
9,0.5
9,0.525
